Programme;Serial Number;Start Date;End Date;Budget
2014 - 2020 INTERREG VB Central Europe;1;2015/02/12;2015/12/04;
2014 - 2020 INTERREG V-A Austria - Hungary;8;2015/07/01;2022/12/31;0
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);2;2014/12/18;2015/06/18;
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);1;2014/12/18;2015/02/09;
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);3;2015/08/24;2015/10/23;
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);4;2015/08/24;2016/04/01;
2014 - 2020 INTERREG V-A Belgium - The Netherlands (Vlaanderen - Nederland);1;2014/01/24;2015/01/30;42,900,000.00
2014 - 2020 INTERREG V-A Estonia - Latvia;10;2016/07/18;2016/10/07;0
2014 - 2020 INTERREG V-A Germany - Denmark;Call 1;2015/01/01;2017/12/15;96,172,578.29
2014 - 2020 INTERREG V-A Greece - Bulgaria;B2;2015/12/14;2016/04/22;35,200,000.00
2014 - 2020 INTERREG V-A Greece - Cyprus;1;2015/12/15;2016/04/11;16,000,000.00
2014 - 2020 INTERREG V-A Slovakia - Hungary;SKHU/1601;2016/07/29;2016/11/03;67,475.82
2014 - 2020 INTERREG V-A Italy - Austria;1;2016/03/14;2016/06/06;30,000,000.00
2014 - 2020 INTERREG V-A France - Italy (ALCOTRA);Call 1;2015/07/15;2015/09/16;18,689,369.00
2014 - 2020 INTERREG V-A Italy - France (Maritime);1;2016/01/21;2016/02/26;
2014 - 2020 INTERREG V-A Latvia - Lithuania;1;2016/04/29;2016/08/05;0
2014 - 2020 INTERREG V-A Lithuania - Poland;1;2016/03/22;2016/06/09;0
2014 - 2020 INTERREG V-A Poland - Slovakia;PLSK.03.01.00-IP.01-00-003/16;2016/02/02;2016/02/16;1,859,864.68
2014 - 2020 INTERREG V-A Poland - Slovakia;PLSK.02.01.00-IP.01-00-001/16;2016/01/26;2016/05/31;29,760,000.00
2014 - 2020 INTERREG V-A Romania - Bulgaria;1;2015/03/26;2017/02/15;0
2014 - 2020 INTERREG V-A Romania - Bulgaria;10;2017/01/10;2018/01/25;
2014 - 2020 INTERREG V-A Romania - Bulgaria;5;2016/11/27;2017/12/31;0
2014 - 2020 INTERREG V-A Poland - Germany / Saxony;PLSN.02.01.00-IP.01-00-R02/15;2015/11/23;2016/01/15;13,600,000.00
2014 - 2020 INTERREG V-A Poland - Germany / Saxony;PLSN.01.01.00-IP.01-00-R01/15;2015/11/23;2016/01/15;7,000,000.00
2014 - 2020 INTERREG V-A Poland - Germany / Saxony;PLSN.03.01.00-IP.01-00-R03/15;2015/12/07;2016/02/01;4,000,000.00
2014 - 2020 INTERREG V-A Poland - Germany / Saxony;PLSN.03.01.00-IP.01-00-F01/15;2015/10/30;2015/11/30;4,050,000.00
2014 - 2020 INTERREG V-A Poland - Germany / Saxony;PLSN.04.01.00-IP.01-00-F02/15;2015/10/30;2015/11/30;3,800,000.00
2014 - 2020 INTERREG V-A Poland - Germany / Saxony;PLSN.04.01.00-IP.01-00-R04/16;2016/01/04;2016/03/01;5,000,000.00
2014 - 2020 INTERREG V-A Slovakia - Czech Republic;INTERREG V-A SK-CZ/2016/03;2016/04/22;2016/10/31;14,332,000.00
2014 - 2020 INTERREG V-A Slovakia - Czech Republic;INTERREG V-A SK-CZ/2016/02;2016/04/22;2016/10/31;4,506,942.00
2014 - 2020 INTERREG V-A Poland - Denmark - Germany - Lithuania - Sweden (South Baltic);STHB.02.01.00-IP.01-00-S01/16;2016/05/31;2016/06/17;200,000.00
2014 - 2020 INTERREG V-A Poland - Denmark - Germany - Lithuania - Sweden (South Baltic);STHB.01.02.00-IP.01-00-S01/16;2016/05/31;2016/06/17;200,000.00
2014 - 2020 INTERREG V-A Poland - Denmark - Germany - Lithuania - Sweden (South Baltic);STHB.02.02.00-IP.01-00-S01/16;2016/05/31;2016/06/17;200,000.00
2014 - 2020 INTERREG V-A Poland - Denmark - Germany - Lithuania - Sweden (South Baltic);STHB.05.01.00-IP.01-00-001/15;2015/11/02;2015/12/18;4,155,354.00
2014 - 2020 INTERREG V-A Poland - Denmark - Germany - Lithuania - Sweden (South Baltic);STHB.05.01.00-IP.01-00-S01/16;2016/05/31;2016/06/17;200,000.00
2014 - 2020 INTERREG V-A Poland - Denmark - Germany - Lithuania - Sweden (South Baltic);STHB.04.01.00-IP.01-00-001/15;2015/11/02;2015/12/18;8,310,000.00
2014 - 2020 INTERREG V-A Poland - Denmark - Germany - Lithuania - Sweden (South Baltic);STHB.03.01.00-IP.01-00-S01/16;2016/05/31;2016/06/17;200,000.00
2014 - 2020 INTERREG V-A Poland - Denmark - Germany - Lithuania - Sweden (South Baltic);STHB.01.01.00-IP.01-00-S01/16;2016/05/31;2016/06/17;200,000.00
2014 - 2020 Interreg IPA CBC Greece - Albania;A2;2016/05/17;2016/09/30;13,782,787.00
2014 - 2020 Interreg IPA CBC Romania - Serbia;2;2015/09/15;2017/05/17;0
2014 - 2020 Interreg IPA CBC Croatia â€“ Bosnia and Herzegovina - Montenegro;1;2016/03/09;2016/06/15;25,016,349.00
2014 - 2020 INTERREG VB Alpine Space;1;2015/02/25;2015/09/25;
2014 - 2020 INTERREG VB Alpine Space;2;2016/02/29;2016/04/08;
2014 - 2020 INTERREG VB Baltic Sea;1;;;
2014 - 2020 INTERREG VB Northern Periphery and Arctic;1;2014/09/30;2016/05/17;
2014 - 2020 INTERREG VB Northern Periphery and Arctic;4;2017/06/07;2017/09/08;
2014 - 2020 INTERREG VB Northern Periphery and Arctic;10;2017/06/27;2020/12/31;
2014 - 2020 INTERREG VB Northern Periphery and Arctic;11;2017/06/21;2017/10/19;
2014 - 2020 INTERREG VB Northern Periphery and Arctic;12;2017/06/21;2020/12/31;
2014 - 2020 INTERREG VB South West Europe;1;2015/09/21;2016/06/30;40,200,000.00
2014 - 2020 INTERREG VB Balkan-Mediterranean;1;2015/12/16;2016/04/26;39,727,654.00
