"Locality_Siege";"CountryName";"CountryCode";"Continent";"CityAddress";"typeofcorrect";"lon";"lat";"distance";"timezone.gmtOffset";"timezone.timeZoneId";"timezone.dstOffset";"asciiName";"astergdem";"countryId";"fcl";"srtm3";"adminId2";"adminId3";"countryCode";"adminCodes1.ISO3166_2";"adminId1";"GN_lat";"fcode";"continentCode";"adminCode2";"adminCode3";"adminCode1";"GN_lon";"geonameId";"toponymName";"population";"adminName5";"adminName4";"adminName3";"alternateNames.isPreferredName";"alternateNames.name";"alternateNames.lang";"adminName2";"name";"fclName";"countryName";"fcodeName";"adminName1";"adminCodes2.ISO3166_2";"elevation";"adminId4";"adminCode4";"alternateNames.isShortName";"adminId5";"adminCode5";"alternateNames.isHistoric";"bbox.east";"bbox.south";"bbox.north";"bbox.west";"bbox.accuracyLevel";"score";"cc2";"alternateNames.isColloquial";"DistGeoGN"
"Salies";"France";"FR";"Europe";"Salies, France";"lonlat";2,1294;43,8919;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Val De San Martin";"Spain";"ES";"Europe";"Val De San Martin, Spain";"lonlat";-1,4474;41,057121;"NA";1;"Europe/Madrid";2;"San Martin de Valdeiglesias";680;2510769;"P";675;6355233;6359354;"ES";"MD";3117732;40,36185;"PPLA3";"EU";"M";28133;29;-4,39831;3110326;"San Martín de Valdeiglesias";6965;;;"San Martín de Valdeiglesias";"NA";"سان مارتن دي فالديجليسياس";"ar";"Madrid";"San Martín de Valdeiglesias";"city, village,...";"Spain";"seat of a third-order administrative division";"Madrid";"M";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"-4.38510949877894";"40.3517943428549";"40.3719047528296";"-4.411506101807";2;"53.4766311645508";"NA";"NA";260742,593078027
"Greci";"Italy";"IT";"Europe";"Greci, Italy";"lonlat";15,1693633;41,2530228;"NA";1;"Europe/Rome";2;"Castrignano De' Greci";96;3175395;"P";83;3174952;6540756;"IT";75;3169778;40,17342;"PPLA3";"EU";"LE";75018;13;18,29643;3179382;"Castrignano De' Greci";4070;;;"Castrignano de' Greci";"NA";"Castrignano de' Greci";"en";"Provincia di Lecce";"Castrignano de' Greci";"city, village,...";"Italy";"seat of a third-order administrative division";"Apulia";"LE";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"18.3040701926917";"40.1659348205703";"40.1794888727555";"18.2881858967479";10;"64.2161254882812";"NA";"NA";289913,534773863
"La Figuera";"Spain";"ES";"Europe";"La Figuera, Spain";"lonlat";0,7310074;41,2160813;"NA";1;"Europe/Madrid";2;"La Font de la Figuera";590;2510769;"P";588;2509951;6361993;"ES";"VC";2593113;38,8;"PPL";"EU";"V";46128;60;-0,88333;2517523;"La Font de la Figuera";2139;;;"Font de la Figuera, la";"TRUE";"La Font de la Figuera";"ca";"Valencia";"La Font de la Figuera";"city, village,...";"Spain";"populated place";"Valencia";"V";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"-0.877562878696951";"38.7955031756243";"38.8044968243757";"-0.889103721303049";2;"56.1468811035156";"NA";"NA";302118,205897815
"Michele";"Italy";"IT";"Europe";"Michele, Italy";"lonlat";14,226111;40,554816;"NA";1;"Europe/Rome";2;"San Michele Mondovi";446;3175395;"P";449;3177699;6540133;"IT";21;3170831;44,37595;"PPLA3";"EU";"CN";4210;12;7,90829;3167957;"San Michele Mondovì";1368;;;"San Michele Mondovì";"NA";"San Michele Mondovì";"de";"Provincia di Cuneo";"San Michele Mondovì";"city, village,...";"Italy";"seat of a third-order administrative division";"Piedmont";"CN";444;"NA";"NA";"NA";"NA";"NA";"NA";"7.91652584407841";"44.37161603551";"44.3812089090369";"7.90011161749461";10;"59.3748321533203";"NA";"NA";369596,05351942
"Fonte";"Italy";"IT";"Europe";"Fonte, Italy";"lonlat";11,8682348;45,787098;"NA";1;"Europe/Rome";2;"Fonte Umano-San Martino Alta";118;3175395;"P";114;3171163;6537468;"IT";65;3183560;42,52084;"PPL";"EU";"PE";68012;1;14,1076;8949058;"Fonte Umano-San Martino Alta";1743;;;"Città Sant'Angelo";"NA";"Q18427354";"wkdt";"Provincia di Pescara";"Fonte Umano-San Martino Alta";"city, village,...";"Italy";"populated place";"Abruzzo";"PE";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"14.1207574899211";"42.5156121797569";"42.5267886875834";"14.0905053489202";10;"35.0620803833008";"NA";"NA";405163,505282538
"La Couronne";"France";"FR";"Europe";"La Couronne, France";"lonlat";0,101397;45,608466;"NA";1;"Europe/Paris";2;"Grand-Couronne";23;3017382;"P";17;2975248;2982651;"FR";"NOR";11071621;49,35563;"PPL";"EU";76;763;28;1,00647;3015267;"Grand-Couronne";9569;;"Grand-Couronne";"Rouen";"NA";"La Réunion";"fr_1793";"Seine-Maritime";"Grand-Couronne";"city, village,...";"France";"populated place";"Normandy";"NA";"NA";6443248;76319;"NA";"NA";"NA";"NA";"1.02473996181861";"49.3437335210123";"49.3675284789877";"0.988200038181386";2;"57.5622482299805";"NA";"NA";422644,228258418
"Lei";"Italy";"IT";"Europe";"Lei, Italy";"lonlat";8,55876;40,182018;"NA";1;"Europe/Rome";2;"Naples";23;3175395;"P";14;3172391;3172395;"IT";72;3181042;40,85216;"PPLA";"EU";"NA";63049;4;14,26811;3172394;"Naples";959470;;;"Naples";"TRUE";"Napels";"af";"Naples";"Naples";"city, village,...";"Italy";"seat of a first-order administrative division";"Campania";"NA";17;"NA";"NA";"NA";"NA";"NA";"NA";"14.3537066357826";"40.7918902913658";"40.9159323529191";"14.1394290971699";10;"150.939437866211";"NA";"NA";456132,462749473
"Foradada";"Spain";"ES";"Europe";"Foradada, Spain";"lonlat";1,0129973;41,8768861;"NA";1;"Europe/Madrid";2;"Pilar de la Horadada";44;2510769;"P";31;2521976;6355515;"ES";"VC";2593113;37,86591;"PPLA3";"EU";"A";3902;60;-0,79256;2512581;"Pilar de la Horadada";22050;;;"Pilar de la Horadada";"NA";"El Pilar de la Foradada";"an";"Alicante";"Pilar de la Horadada";"city, village,...";"Spain";"seat of a third-order administrative division";"Valencia";"A";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"-0.768387588180279";"37.8468313397797";"37.884988159901";"-0.816733566604878";2;"48.2158737182617";"NA";"NA";472363,493534819
"Laval";"France";"FR";"Europe";"Laval, France";"lonlat";-0,7669906;48,0785146;"NA";1;"Europe/Paris";2;"Saint-Genis-Laval";246;3017382;"P";245;2987410;2996943;"FR";"ARA";11071625;45,69542;"PPL";"EU";69;691;84;4,79316;2979985;"Saint-Genis-Laval";20883;;"Saint-Genis-Laval";"Lyon";"TRUE";"Genis-le-Patriote";"fr_1793";"Rhône";"Saint-Genis-Laval";"city, village,...";"France";"populated place";"Auvergne-Rhône-Alpes";69;"NA";6441764;69204;"NA";"NA";"NA";"NA";"4.81970970429031";"45.6768751181191";"45.7139568818809";"4.76660229570969";2;"111.207580566406";"NA";"NA";499129,935436978
"Berg";"Austria";"AT";"Europe";"Berg, Austria";"lonlat";17,0409926;48,1033371;"NA";1;"Europe/Vienna";2;"St Anton am Arlberg";1308;2782113;"P";1307;2773069;7873670;"AT";7;2763586;47,1275;"PPL";"EU";706;70621;7;10,26372;2766757;"St Anton am Arlberg";1763;;;"St. Anton am Arlberg";"NA";"St. Anton am Arlberg";"de";"Landeck";"Saint Anton";"city, village,...";"Austria";"populated place";"Tyrol";"NA";"NA";"NA";"NA";"TRUE";"NA";"NA";"NA";"10.2966989699789";"47.121150052801";"47.1442464801865";"10.2465751059006";10;"59.5074501037598";"NA";"NA";519858,629541686
"Ari";"Italy";"IT";"Europe";"Ari, Italy";"lonlat";14,255458;42,2862905;"NA";1;"Europe/Rome";2;"Cagliari";37;3175395;"P";41;2525471;6540125;"IT";88;2523228;39,23054;"PPLA";"EU";"CA";92009;14;9,11917;2525473;"Cagliari";149257;;;"Cagliari";"TRUE";"Cáller";"an";"Provincia di Cagliari";"Cagliari";"city, village,...";"Italy";"seat of a first-order administrative division";"Sardinia";"CA";6;"NA";"NA";"NA";"NA";"NA";"NA";"9.17726540313081";"39.1851399044998";"39.2704608801312";"9.07649635787069";10;"85.790771484375";"NA";"NA";550534,379826638
"San Donato";"Italy";"IT";"Europe";"San Donato, Italy";"lonlat";18,110001;40,16;"NA";1;"Europe/Rome";2;"San Donato Milanese";96;3175395;"P";107;3173434;6537131;"IT";25;3174618;45,41047;"PPLA3";"EU";"MI";15192;9;9,26838;3168414;"San Donato Milanese";28351;;;"San Donato Milanese";"NA";"San Donato Milanese";"en";"Milan";"San Donato Milanese";"city, village,...";"Italy";"seat of a third-order administrative division";"Lombardy";"MI";102;"NA";"NA";"NA";"NA";"NA";"NA";"9.2888319488268";"45.3996192314235";"45.4377839811642";"9.24955468894137";10;"88.9839019775391";"NA";"NA";551328,684708219
"L'hermitage";"France";"FR";"Europe";"L'hermitage, France";"lonlat";-1,817932;48,127513;"NA";1;"Europe/Paris";2;"Tain-l'Hermitage";109;3017382;"P";-32768;3020781;2971049;"FR";"ARA";11071625;45,06672;"PPL";"EU";26;263;84;4,8559;2973531;"Tain-l’Hermitage";5923;;"Tain-l'Hermitage";"Valence";"TRUE";26600;"post";"Drôme";"Tain-l’Hermitage";"city, village,...";"France";"populated place";"Auvergne-Rhône-Alpes";26;"NA";6430251;26347;"NA";"NA";"NA";"NA";"4.86863978258654";"45.0577303512482";"45.0757176487518";"4.84316821741346";2;"77.9268951416016";"NA";"NA";613402,027044284
"Lefke";"Turkey";"TR";"Asia";"Lefke, Turkey";"lonlat";32,8304816;35,1300189;"NA";3;"Europe/Istanbul";3;"Osmaneli";115;298795;"P";114;"NA";"NA";"TR";11;321122;40,35722;"PPLA2";"AS";"NA";"NA";11;30,01417;740881;"Osmaneli";15708;;;;"NA";"https://en.wikipedia.org/wiki/Osmaneli";"link";;"Osmaneli";"city, village,...";"Turkey";"seat of a second-order administrative division";"Bilecik";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"30.0354491051707";"40.3410084691366";"40.3734355308634";"29.9928848948293";2;"47.4828643798828";"NA";"NA";632400,991967801
"María";"Spain";"ES";"Europe";"María, Spain";"lonlat";-2,1659005;37,710596;"NA";1;"Europe/Madrid";2;"Luanco";25;2510769;"P";13;6355236;6359930;"ES";"AS";3114710;43,61517;"PPL";"EU";"O";33025;34;-5,79344;3117862;"Luanco";10672;;;"Gozón";"NA";"Lluancu";"ast";"Asturias";"Luanco";"city, village,...";"Spain";"populated place";"Asturias";"O";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"-5.77587115091017";"43.6024495741907";"43.6278874542696";"-5.81101430136034";2;"92.9089279174805";"NA";"NA";724972,749651618
"Felix";"Spain";"ES";"Europe";"Felix, Spain";"lonlat";-2,7083287;36,8696103;"NA";1;"Europe/Madrid";2;"Monfero";435;2510769;"P";448;3119840;6357319;"ES";"GA";3336902;43,33333;"PPL";"EU";"C";15050;58;-8,01667;3116482;"Monfero";2440;;;"Monfero";"NA";15619;"post";"A Coruña";"Monfero";"city, village,...";"Spain";"populated place";"Galicia";"C";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"-8.00792272566952";"43.3269738299803";"43.3396927700197";"-8.02541067433048";2;"56.4421615600586";"NA";"NA";849293,322209242
"Augusta";"Italy";"IT";"Europe";"Augusta, Italy";"lonlat";15,2216971;37,2500684;"NA";1;"Europe/Rome";2;"Turin";245;3175395;"P";245;3165523;3165525;"IT";21;3170831;45,07049;"PPLA";"EU";"TO";1272;12;7,68682;3165524;"Turin";870456;;"Centro - Crocetta";"Torino";"TRUE";"Turyn";"af";"Turin";"Turin";"city, village,...";"Italy";"seat of a first-order administrative division";"Piedmont";"TO";239;11352097;12721;"NA";"NA";"NA";"NA";"7.76285770233749";"45.0067970673826";"45.1335236504683";"7.57785991813607";10;"148.600311279297";"NA";"NA";1074419,2155117
"Sao Pedro";"Brazil";"BR";"Americas";"Sao Pedro, Brazil";"lonlat";-47,9058019;-22,5508681;"NA";-3;"America/Sao_Paulo";-3;"Rio Grande";13;3469034;"P";7;3451136;"NA";"BR";"RS";3451133;-32,035;"PPL";"SA";4315602;"NA";23;-52,09861;3451138;"Rio Grande";187838;;;;"NA";"Rio Grande";"en";"Rio Grande";"Rio Grande";"city, village,...";"Brazil";"populated place";"Rio Grande do Sul";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"-52.032397456654";"-32.091165318451";"-31.978834681549";"-52.164824763346";2;"73.4563140869141";"NA";"NA";1134004,83284439
"Blanca";"Spain";"ES";"Europe";"Blanca, Spain";"lonlat";-1,376603;38,180595;"NA";0;"Atlantic/Canary";1;"Playa Blanca";16;2510769;"P";16;2515271;6360204;"ES";"CN";2593110;28,86426;"PPL";"EU";"GC";35034;53;-13,82814;2512465;"Playa Blanca";10000;;;"Yaiza";"TRUE";"Playa Blanca";"es";"Las Palmas";"Playa Blanca";"city, village,...";"Spain";"populated place";"Canary Islands";"GC";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"-13.8136120008926";"28.8515450599605";"28.8769829400395";"-13.8426619991074";2;"50.5130653381348";"NA";"NA";1557657,143291
"Les";"Spain";"ES";"Europe";"Les, Spain";"wrong ";0,7117137;42,8116099;"NA";0;"Atlantic/Canary";1;"Las Palmas de Gran Canaria";15;2510769;"P";23;2515271;6360186;"ES";"CN";2593110;28,09973;"PPLA";"EU";"GC";35016;53;-15,41343;2515270;"Las Palmas de Gran Canaria";381847;;;"Las Palmas";"TRUE";"Les Palmes de Gran Canària";"ca";"Las Palmas";"Las Palmas de Gran Canaria";"city, village,...";"Spain";"seat of a first-order administrative division";"Canary Islands";"GC";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"-15.3224570164276";"28.0195371342397";"28.1799168657603";"-15.5044029835724";2;"140.463348388672";"NA";"NA";2187594,22149996
"La Rambla";"Spain";"ES";"Europe";"La Rambla, Spain";"lonlat";-4,74132;37,6082;"NA";0;"Atlantic/Canary";1;"San Juan de la Rambla";81;2510769;"P";99;2511173;6360633;"ES";"CN";2593110;28,39276;"PPL";"EU";"TF";38026;53;-16,65015;2511327;"San Juan de la Rambla";5007;;;"Orotava, La";"NA";"San Juan de la Rambla";"de";"Santa Cruz de Tenerife";"San Juan de la Rambla";"city, village,...";"Spain";"populated place";"Canary Islands";"TF";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"-16.63992269181";"28.3837693512486";"28.4017566487514";"-16.66037130819";2;"64.6159973144531";"NA";"NA";2237157,82971911
"Saint-Denis-De-La-Réunion";"France";"FR";"Europe";"Saint-Denis-De-La-Réunion, France";"lonlat";55,4550536;-20,8906596;"NA";1;"Europe/Paris";2;"Saint-Denis-d'Oleron";14;3017382;"P";9;3026644;2983272;"FR";"NAQ";11071620;46,03496;"PPL";"EU";17;172;75;-1,37867;2980891;"Saint-Denis-d’Oléron";1172;;"Saint-Denis-d'Oléron";"Rochefort";"TRUE";"Cité-de-la-Réunion";"fr_1793";"Charente-Maritime";"Saint-Denis-d’Oléron";"city, village,...";"France";"populated place";"Nouvelle-Aquitaine";17;"NA";6428061;17323;"NA";"NA";"NA";"NA";"-1.37737047339453";"46.0340626351249";"46.0358613648751";"-1.37996152660547";2;"57.0255661010742";"NA";"NA";9391644,5711692
"Saint-Denis Réunion";"France";"FR";"Europe";"Saint-Denis Réunion, France";"lonlat";55,4550536;-20,8906596;"NA";1;"Europe/Paris";2;"Saint-Denis-d'Oleron";14;3017382;"P";9;3026644;2983272;"FR";"NAQ";11071620;46,03496;"PPL";"EU";17;172;75;-1,37867;2980891;"Saint-Denis-d’Oléron";1172;;"Saint-Denis-d'Oléron";"Rochefort";"TRUE";"Cité-de-la-Réunion";"fr_1793";"Charente-Maritime";"Saint-Denis-d’Oléron";"city, village,...";"France";"populated place";"Nouvelle-Aquitaine";17;"NA";6428061;17323;"NA";"NA";"NA";"NA";"-1.37737047339453";"46.0340626351249";"46.0358613648751";"-1.37996152660547";2;"56.2581329345703";"NA";"NA";9391644,5711692
"Sokndal";"Norway";"NO";"Europe";"Sokndal, Norway";"lonlat";6,1405672;58,2700547;"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"Crete (Region)";"Greece";"GR";"Europe";"Crete (Region), Greece";"lonlat";24,8092691;35,240117;"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"Tuolumne County";"United States";"US";"Americas";"Tuolumne County, United States";"lonlat";-119,9740534;38,029655;"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"Vinje";"Norway";"NO";"Europe";"Vinje, Norway";"lonlat";7,7647757;59,889972;"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"NA";"Hungary";"HU";"Europe";"NA, Hungary";"wrong ";"NA";"NA";"NA";1;"Europe/Budapest";2;"Mecseknadasd";182;719819;"P";181;"NA";"NA";"HU";"BA";3055399;46,22468;"PPL";"EU";"NA";"NA";2;18,47076;3048250;"Mecseknádasd";1660;;;;"NA";"Nadoš";"hr";;"Mecseknádasd";"city, village,...";"Hungary";"populated place";"Baranya";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"18.4772645703092";"46.2201841176767";"46.2291777664285";"18.4642637500032";2;"41.4979972839355";"HU";"NA";"NA"
"Kainuu Region";"Finland";"FI";"Europe";"Kainuu Region, Finland";"lonlat";28,7437475;64,3736564;"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"Comunità Della Marmilla";"Italy";"IT";"Europe";"Comunità Della Marmilla, Italy";"lonlat";8,88964;39,669991;"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
