;Programme;Acronym;Project.Partner;Lead.Partner;Street;Postal.code;Town;Country;Website;Department;Legal.Status;Country.Code;NUTS1;NUTS2;NUTS3;Location;lon;lat
1;2007 - 2013 Baltic Sea Region;BGLC;Region of Västerbotten;Yes;Box 443;90109;Umevägen;Sweden;http://eu.baltic.net/Project_Database.5308.html?;NA;NA;SE Sweden / SVERIGE;SE3  / NORRA SVERIGE;SE33  / Övre Norrland;SE331  / Västerbottens län;box 443, 90109 umevägen, sweden;63.828866;20.263361
2;2007 - 2013 Interreg IVC;CLIMACTREGIONS;Regional Council Rhone-Alpes;Yes;Direction de l'Environnement et de l'Energie (D2E) - 78 route de Paris, BP 19;69751;Charbonnières les Bains ;France;http://www.interreg4c.eu/;NA;NA;FR France / FRANCE;FR7  / CENTRE-EST;FR71  / Rhône-Alpes;FR716  / Rhône;direction de l'environnement et de l'energie (d2e) - 78 route de paris, bp 19, 69751 charbonnières les bains cedex, france;45.779346;4.742156
3;2007 - 2013 Interreg IVC;ECREIN+;Regional Council of Rhone-Alpes;Yes;Direction de l'Environnement et de l'Energie (D2E) - 78 route de Paris - BP 19;69751;Charbonnière les Bains ;France;http://www.interreg4c.eu/;NA;NA;FR France / FRANCE;FR7  / CENTRE-EST;FR71  / Rhône-Alpes;FR716  / Rhône;direction de l'environnement et de l'energie (d2e) - 78 route de paris - bp 19, 69751 charbonnière les bains cedex, france;45.009466;3.776946
4;2007 - 2013 Interreg IVC;OSEPA;CENTRAL UNION OF MUNICIPALITIES AND COMUNITIES OF GREECE;Yes;8 GENADIOU ST. & AKADIMIAS ST.;10678;ATHENS;Greece;http://www.interreg4c.eu/;NA;NA;EL Greece / <U+0395><U+039B><U+039B><U+0391><U+0394><U+0391> (ELLADA);EL3  / ATTIK<U+0397> (ATTIKI);EL30  / Att<U+03B9><U+03BA><U+03AE> (Attiki);EL303  / <U+039A>e<U+03BD>t<U+03C1><U+03B9><U+03BA><U+03CC><U+03C2> <U+03A4><U+03BF>µ<U+03AD>a<U+03C2> <U+0391><U+03B8><U+03B7><U+03BD><U+03CE><U+03BD> (Kentrikos Tomeas Athinon);8 genadiou st. & akadimias st., 10678 athens, greece;37.988579;23.728541
5;2007 - 2013 North Sea Region;LNS;Association of Rivers Trusts;Yes;Drygrange Steading, By Melrose, Roxburghshire;TD6 9DJ;Melrose;United Kingdom;http://archive.northsearegion.eu/ivb/home/;NA;NA;UK United Kingdom / UNITED KINGDOM;UKM  / SCOTLAND;UKM2  / Eastern Scotland;UKM24  / Scottish Borders;drygrange steading, by melrose, roxburghshire, td6 9dj melrose, united kingdom;55.596785;-2.717004
6;2007 - 2013 North Sea Region;e-CME;WORLD MARITIME UNIVERSITY;Yes;;S-20124;Malmo;Sweden;http://www.northsearegion.eu/;NA;NA;SE Sweden / SVERIGE;SE2  / SÖDRA SVERIGE;SE22  / Sydsverige;SE224  / Skåne län;, s-20124 malmo, sweden;55.59438;13.029953
7;2007 - 2013 Northern Periphery;NPNP;Piteå Municipality, Department of Culture and Leisure;Yes;;94185;Pite;Sweden;http://www.northernperiphery.eu/en/projects/show/&tid=68;NA;NA;SE Sweden / SVERIGE;SE3  / NORRA SVERIGE;SE33  / Övre Norrland;SE332  / Norrbottens län;, 94185 pite, sweden;65.859144;19.017205
8;2007 - 2013 Spain - France - Andorra (ES-FR-AD);TECCAS;ECOLE NATIONALE D INGENIEURS (ENI);Yes;"47 avenue d<U+0092>Azereix;";65016;Tarbes;France;http://www.poctefa.eu/;NA;NA;FR France / FRANCE;FR6  / SUD-OUEST;FR62  / Midi-Pyrénées;FR626  / Hautes-Pyrénées;"47 avenue d<U+0092>azereix;, 65016 tarbes, france";43.234675;0.069354
9;2007 - 2013 Spain - France - Andorra (ES-FR-AD);DYNAFOREST;UNION COMMUNES FORESTIERES DU GRAND SUD;Yes;Hôtel Lassus <U+0096> 6 rue du Barry;31210;MONTREJEAU;France;http://www.poctefa.eu/;NA;NA;FR France / FRANCE;FR6  / SUD-OUEST;FR62  / Midi-Pyrénées;FR623  / Haute-Garonne;hôtel lassus <U+0096> 6 rue du barry, 31210 montrejeau, france;43.143628;0.552787
10;2007 - 2013 Spain - External Borders (ES);NAUCAM;Universidad de Las Palmas de Gran Canaria (ULPGC);Yes;Campus de Tafira, Edif. CCEE, D-3.16;35017;Las Palmas de Gran Canaria;Spain;https://www.poctefa.eu/programa/poctefa-2007-2013/;NA;NA;ES Spain / ESPAÑA;ES7  / CANARIAS;ES70  / Canarias;ES705  / Gran Canaria;campus de tafira, edif. ccee, d-3.16, 35017 las palmas de gran canaria, spain;28.115784;-15.439151
11;2007 - 2013 Programme MED;AGROCHEPACK;Municipality of Nigrita;Yes;2 Iroon str.;62200;Negritis;Greece;http://www.programmemed.eu/index.php?id=5175&L=1;NA;NA;EL Greece / <U+0395><U+039B><U+039B><U+0391><U+0394><U+0391> (ELLADA);EL5  / <U+0392><U+039F><U+03A1><U+0395><U+0399><U+0391> <U+0395><U+039B><U+039B><U+0391><U+0394><U+0391> (VOREIA ELLADA);EL52  / <U+039A>e<U+03BD>t<U+03C1><U+03B9><U+03BA><U+03AE> <U+039C>a<U+03BA>ed<U+03BF><U+03BD><U+03AF>a (Kentriki Makedonia);EL526  / S<U+03AD><U+03C1><U+03C1>e<U+03C2> (Serres);2 iroon str., 62200 negritis, greece;39.78331;21.708535
12;2007 - 2013 France - Switzerland (FR-CH);Schéma des mobilités de l'Arc jurassien;Conseil régional de Franche-Comté;Yes;Direction des transports,  4 square Castan;25031;Besançon;France;http://www.interreg-francesuisse.org/les-realisations/3412,liste-des-beneficiaires.html;NA;NA;FR France / FRANCE;FR8  / MÉDITERRANÉE;FR81  / Languedoc-Roussillon;FR813  / Hérault;direction des transports,  4 square castan, 25031 besançon, france;47.246152;6.012901
13;2007 - 2013 France - Switzerland (FR-CH);Pont de Biaufond;Conseil général du Doubs;Yes;Direction des routes et des infrastructures  7, avenue de la Gare d’Eau;25031;Besan;France;http://www.interreg-francesuisse.org/les-realisations/3412,liste-des-beneficiaires.html;NA;NA;FR France / FRANCE;FR8  / MÉDITERRANÉE;FR81  / Languedoc-Roussillon;FR813  / Hérault;direction des routes et des infrastructures  7, avenue de la gare d’eau, 25031 besan, france;46.698481;2.549047
14;2007 - 2013 France - Switzerland (FR-CH);Ligne ferroviaire St Gervais - Vallorcine;Réseau Ferré de France;Yes;Direction Régionale Rhône-Alpes - Auvergne,  78 rue de la Villette;69425;Lyon ;France;http://www.interreg-francesuisse.org/les-realisations/3412,liste-des-beneficiaires.html;NA;NA;FR France / FRANCE;FR7  / CENTRE-EST;FR71  / Rhône-Alpes;FR716  / Rhône;direction régionale rhône-alpes - auvergne,  78 rue de la villette, 69425 lyon cedex 03, france;45.752181;4.840823
15;2007 - 2013 Hungary-Slovakia-Romania-Ukraine ENPI CBC;HUSKROUA/0901/057;Non-Governmental Organisation “Chaslovtsi Chicherho Chayok”;Yes;Bercheni str., 28;2144-11-10;Chaslovtsy;Ukraine;http://www.huskroua-cbc.net/;NA;NA;UA  / Ukraine;NA;NA;NA;bercheni str., 28, 2144-11-10 chaslovtsy, ukraine;49.219469;33.023452
16;2007 - 2013 Hungary-Slovakia-Romania-Ukraine ENPI CBC;HUSKROUA/0901/106;Municipality of Jánosi;Yes;Shevchenko str. 41.;2147-01-17;Jánosi;Ukraine;http://www.ccimm.ro/;NA;NA;UA  / Ukraine;NA;NA;NA;shevchenko str. 41., 2147-01-17 jánosi, ukraine;48.249723;22.625774
17;2007 - 2013 Hungary-Slovakia-Romania-Ukraine ENPI CBC;HUSKROUA/1101/057;Transcarpathian Regional Non-governmental Organization „Ukrainian-Hungarian Regional Development Centre”;Yes;Lehotskoho str., 60/42;2140-12-06;Uzhhorod;Ukraine;http://ftvktvf.zoldhatosag.hu/;NA;NA;UA  / Ukraine;NA;NA;NA;lehotskoho str., 60/42, 2140-12-06 uzhhorod, ukraine;48.618025;22.300147
18;2007 - 2013 Romania-Ukraine-Moldova ENPI CBC;Cross-border cooperation for a life without drugs;Solidarity and Hope Foundation;Yes;Costache Negri street, No. 48;General;Iasi;Romania;http://www.ro-ua-md.net;NA;NA;RO Romania / ROMÂNIA;RO2  / MACROREGIUNEA DOI;RO21  / Nord-Est;RO213  / Iasi;costache negri street, no. 48, general iasi, romania;47.261265;27.338288
19;2007 - 2013 France (Channel) - England (FR-UK);AQUAMANCHE;University of Brighton;Yes;University of Brighton  School of Environment & Technology  Cockcroft Building  Lewes Road;BN2 4GJ;Brighton;United Kingdom;https://interreg5a-fce.eu/;NA;NA;UK United Kingdom / UNITED KINGDOM;UKJ  / SOUTH EAST (ENGLAND);UKJ2  / Surrey, East and West Sussex;UKJ21  / Brighton and Hove;university of brighton  school of environment & technology  cockcroft building  lewes road, bn2 4gj brighton, united kingdom;50.830346;-0.169974
20;2007 - 2013 France (Channel) - England (FR-UK);DEAL;Conseil Général des Côtes D'Armor;Yes;Direction de l'Agriculture et des Espaces Ruraux et Naturels (DAERN) , 2 rue Jean Kuster - BP 2375;22023;Saint Brieuc;France;http://interreg4a-manche.eu;NA;NA;FR France / FRANCE;FR5  / OUEST;FR52  / Bretagne;FR521  / Côtes-d'Armor;direction de l'agriculture et des espaces ruraux et naturels (daern) , 2 rue jean kuster - bp 2375, 22023 saint brieuc, france;48.508263;-2.761387
21;2007 - 2013 Black Sea Basin ENPI CBC;ECO-SATELLITE;Decentralized Administration of Macedonia and Thrace, Greece;Yes;11 Rossidi & Economidi;BG 546 55;Thessaloniki;Greece;http://www.blacksea-cbc.net/;NA;NA;EL Greece / <U+0395><U+039B><U+039B><U+0391><U+0394><U+0391> (ELLADA);EL5  / <U+0392><U+039F><U+03A1><U+0395><U+0399><U+0391> <U+0395><U+039B><U+039B><U+0391><U+0394><U+0391> (VOREIA ELLADA);EL52  / <U+039A>e<U+03BD>t<U+03C1><U+03B9><U+03BA><U+03AE> <U+039C>a<U+03BA>ed<U+03BF><U+03BD><U+03AF>a (Kentriki Makedonia);EL522  / Tessa<U+03BB><U+03BF><U+03BD><U+03AF><U+03BA><U+03B7> (Thessaloniki);11 rossidi & economidi, bg 546 55 thessaloniki, greece;40.656485;22.937343
22;2007 - 2013 South-East Finland-Russia ENPI CBC;St.Petersburg-Savonlinna Ballet Days;Non-profit Partnership “Dance Open Festival”;Yes;10 Zhukovsky street;191014;St.Petersburg;Russia;http://www.danceopen.com/en/;NA;NA;RU  / Russia;NA;NA;NA;10 zhukovsky street, 191014 st.petersburg, russia;59.911039;30.340232
23;2007 - 2013 Lithuania-Poland-Russia ENPI CBC;ILPR.02.02.00-96-007/10-00;Municipal educational institution, Educational secondary school No 31;Yes;Proletarskaya 66-A;236040;Kaliningrad;Russia;http://kursklgd.do.am/;NA;NA;RU  / Russia;NA;NA;NA;proletarskaya 66-a, 236040 kaliningrad, russia;54.787637;21.265133
24;2007 - 2013 Hungary - Romania (HU-RO);HURO bus edu;SALUS Oktatási és Egészségügyi Szolgáltató Nonprofit Kft;Yes;Bakay N. u. 48;6724;Szeged;Hungary;http://www.huro-cbc.eu/;NA;NA;HU Hungary / MAGYARORSZÁG;HU3  / ALFÖLD ÉS ÉSZAK;HU33  / Dél-Alföld;HU333  / Csongrád;bakay n. u. 48, 6724 szeged, hungary;46.256116;20.141016
25;2007 - 2013 Hungary - Romania (HU-RO);Cherechiu - Kokad;Comuna Cherechiu;Yes;Comuna Cherechiu nr. 78.;417175;Cherechiu;Romania;http://www.huro-cbc.eu/;NA;NA;RO Romania / ROMÂNIA;RO1  / MACROREGIUNEA UNU;RO11  / Nord-Vest;RO111  / Bihor;comuna cherechiu nr. 78., 417175 cherechiu, romania;45.727469;24.984652
26;2007 - 2013 EUREGIO Meuse-Rhine (NL-BE-DE);EDUTAINMENT;Continuim;Yes;Postbus 164;NL-6460 AD;Gène;Netherlands;http://www.interregemr.eu/;NA;NA;NL Netherlands / NEDERLAND;NL4  / ZUID-NEDERLAND;NL42  / Limburg (NL);NL423  / Zuid-Limburg;postbus 164, nl-6460 ad gène, netherlands;52.554205;5.501896
27;2007 - 2013 EUREGIO Meuse-Rhine (NL-BE-DE);EU-PREVENT;GGD Noord- en Midden Limburg;Yes;Postbus 1150;NL-5900 BD;Ton;Netherlands;http://www.euprevent.eu;NA;NA;NL Netherlands / NEDERLAND;NL3  / WEST-NEDERLAND;NL32  / Noord-Holland;NL327  / Het Gooi en Vechtstreek;postbus 1150, nl-5900 bd ton, netherlands;52.554205;5.501896
28;2007 - 2013 Greece - Cyprus (EL-CY);<U+03A0><U+03A1><U+039F>S<U+039A><U+03A0>;Hellenic Company for Multiple Sclerosis;Yes;<U+03A0>a<U+03BD>. <U+03A7>a<U+03C1>a<U+03BB>aµp<U+03AC><U+03BA><U+03B7> 3 & <U+039A><U+03BF><U+03C1>. <U+039A><U+03C9><U+03BD>sta<U+03BD>t<U+03B9><U+03BA><U+03AC><U+03BA><U+03B7>, <U+0391><U+03B3>. <U+0399><U+03C9><U+03AC><U+03BD><U+03BD><U+03B7><U+03C2> - <U+039A>a<U+03BB>aµa<U+03C1><U+03B9><U+03AC>;55132;Tes/<U+03BD><U+03AF><U+03BA><U+03B7>;Greece;http://www.greece-cyprus.eu/;NA;NA;EL Greece / <U+0395><U+039B><U+039B><U+0391><U+0394><U+0391> (ELLADA);EL5  / <U+0392><U+039F><U+03A1><U+0395><U+0399><U+0391> <U+0395><U+039B><U+039B><U+0391><U+0394><U+0391> (VOREIA ELLADA);EL53  / <U+0394><U+03C5>t<U+03B9><U+03BA><U+03AE> <U+039C>a<U+03BA>ed<U+03BF><U+03BD><U+03AF>a (Dytiki Makedonia);EL533  / F<U+03BB><U+03CE><U+03C1><U+03B9><U+03BD>a (Florina);pa<U+03BD>. <U+03C7>a<U+03C1>a<U+03BB>aµp<U+03AC><U+03BA><U+03B7> 3 & <U+03BA><U+03BF><U+03C1>. <U+03BA><U+03C9><U+03BD>sta<U+03BD>t<U+03B9><U+03BA><U+03AC><U+03BA><U+03B7>, a<U+03B3>. <U+03B9><U+03C9><U+03AC><U+03BD><U+03BD><U+03B7><U+03C2> - <U+03BA>a<U+03BB>aµa<U+03C1><U+03B9><U+03AC>, 55132 <U+03B8>es/<U+03BD><U+03AF><U+03BA><U+03B7>, greece;39.78331;21.708535
29;2007 - 2013 France - Wallonia - Flanders (BE-FR);ARRIVEE;Mairie de Roubaix;Yes;Direction du projet de Cohésion Sociale CS70737 - BP 737;59066;ROUBAIX;France;http://www.interreg-fwvl.eu/fr/;NA;NA;FR France / FRANCE;FR3  / NORD - PAS-DE-CALAIS;FR30  / Nord - Pas-de-Calais;FR301  / Nord;direction du projet de cohésion sociale cs70737 - bp 737, 59066 roubaix, france;50.689335;3.182393
30;2000 - 2006 Interreg IIIC North;LOF;Centre for Ecological Engineering;Yes;Tuglase 1-6;51014;Tartu;Estonia;http://www.interreg3c.net/web/north_en;NA;NA;EE Estonia / EESTI;EE0  / EESTI;EE00  / Eesti;EE008  / Lõuna-Eesti;tuglase 1-6, 51014 tartu, estonia;58.372941;26.738843
31;2000 - 2006 Interreg IIIC East;TranSUrban;VOLOS MUNICIPAL ENTERPRISE FOR URBAN STUDIES CONSTRUCTION AND DEVELOPMENT;Yes;Lachana 5 & Limnou Street;38334;Volos;Greece;http://www.interreg4c.eu/about-interreg-iiic/;NA;NA;EL Greece / <U+0395><U+039B><U+039B><U+0391><U+0394><U+0391> (ELLADA);EL6  / <U+039A><U+0395><U+039D><U+03A4><U+03A1><U+0399><U+039A><U+0397> <U+0395><U+039B><U+039B><U+0391><U+0394><U+0391> (KENTRIKI ELLADA);EL61  / Tessa<U+03BB><U+03AF>a (Thessalia);EL613  / <U+039C>a<U+03B3><U+03BD><U+03B7>s<U+03AF>a, Sp<U+03BF><U+03C1><U+03AC>de<U+03C2> (Magnisia, Sporades),;lachana 5 & limnou street, 38334 volos, greece;39.368361;22.946424
32;2000 - 2006 Interreg IIIC South;MedWet-Reseau CODDE;MedWet-Zones Humides Mediteraneennes Ramsar;Yes;Lambraki 1 & Kifissias;145 61;Kiffissia;Greece;http://www.interreg3c.net/web/south_fr;NA;NA;EL Greece / <U+0395><U+039B><U+039B><U+0391><U+0394><U+0391> (ELLADA);EL3  / ATTIK<U+0397> (ATTIKI);EL30  / Att<U+03B9><U+03BA><U+03AE> (Attiki);EL301  / <U+0392><U+03CC><U+03C1>e<U+03B9><U+03BF><U+03C2> <U+03A4><U+03BF>µ<U+03AD>a<U+03C2> <U+0391><U+03B8><U+03B7><U+03BD><U+03CE><U+03BD> (Voreios Tomeas Athinon);lambraki 1 & kifissias, 145 61 kiffissia, greece;39.78331;21.708535
33;2000 - 2006 Interreg IIIC South;NOÉ;Conseil Régional Provence-Alpes-Côte d'Azur;Yes;Direction de la Culture - 27 place Jules Guesde;13481;MARSEILLE ;France;http://www.interreg3c.net/web/south_fr;NA;NA;FR France / FRANCE;FR8  / MÉDITERRANÉE;FR82  / Provence-Alpes-Côte d'Azur;FR824  / Bouches-du-Rhône;direction de la culture - 27 place jules guesde, 13481 marseille cedex 20, france;43.295314;5.401581
34;2000 - 2006 Interreg IIIC South;RUP-PLUS;Direction Générale d'Affaires Economiques avec l'UE du Gouvernement des Canaries;Yes;calle Muelle de los Vapores s/n;35071;Las Palmas de Gran Canaria;Spain;http://www.interreg3c.net/web/south_fr;NA;NA;ES Spain / ESPAÑA;ES7  / CANARIAS;ES70  / Canarias;ES705  / Gran Canaria;calle muelle de los vapores s/n, 35071 las palmas de gran canaria, spain;28.115784;-15.439151
35;2000 - 2006 Archimed;MOBILAB;Aerosol and Particle Technology Laboratory/ Chemical Process Engineering Research Institute/ Centre for Research and Technology Hellas (APTL/CERTH/CPERI);Yes;;1142;Hellas;Greece;NA;NA;NA;EL Greece / <U+0395><U+039B><U+039B><U+0391><U+0394><U+0391> (ELLADA);EL3  / ATTIK<U+0397> (ATTIKI);EL30  / Att<U+03B9><U+03BA><U+03AE> (Attiki);EL307  / <U+03A0>e<U+03B9><U+03C1>a<U+03B9><U+03AC><U+03C2>, <U+039D><U+03AE>s<U+03BF><U+03B9> (Peiraias, Nisoi),;, 1142 hellas, greece;39.78331;21.708535
36;2000 - 2006 Nord (FI-SE-NO-RU);Developing king crab base farming in Varde and Liinahamari;Contrace AS;Yes;;23 9951;Vard;Norway;NA;NA;NA;NO Norway / NORGE;NO0  / NORGE;NO02  / Hedmark og Oppland;NO022  / Oppland;, 23 9951 vard, norway;61.356908;9.680372
37;2000 - 2006 Alpenrhein - Bodensee - Hochrhein (AT-DE-CH-LI);Uferrenaturierung Bodensee;Arbeitsgruppe Bodenseeufer ARBU e.V.;Yes;HerosA<U+0083>Â© Str. 18;78467;Konstanz;Germany;NA;NA;NA;DE Germany / DEUTSCHLAND;DE1  / BADEN-WÜRTTEMBERG;DE13  / Freiburg;DE138  / Konstanz;herosa<U+0083>â© str. 18, 78467 konstanz, germany;47.673531;9.170081
38;2000 - 2006 Caribbean;CESAR;Université des Antilles Guyane, Campus de Fouillole;Yes;;97157;Pointe-à -Pitre;Guadeloupe;NA;NA;NA;FR France / FRANCE;FRA  / DÉPARTEMENTS D'OUTRE-MER;FRA1  / Guadeloupe;FRA10  / Guadeloupe;, 97157 pointe-à -pitre, guadeloupe;16.23333;-61.51667
39;2000 - 2006 Caribbean;Interco Northern Islands;EDF Archipel Guadeloupe;Yes;;97153;Pointe-à -Pitre;Guadeloupe;NA;NA;NA;FR France / FRANCE;FRA  / DÉPARTEMENTS D'OUTRE-MER;FRA1  / Guadeloupe;FRA10  / Guadeloupe;, 97153 pointe-à -pitre, guadeloupe;16.23333;-61.51667
40;2000 - 2006 Slovakia - Czech Republic (SK-CZ);Využití obnovitelných zdroju energie ve školských budovách mesta Vsetín;Mesto Vsetín;Yes;;75524;Vset;Czech Republic;NA;NA;NA;CZ Czech Republic / CESKÁ REPUBLIKA;CZ0  / CESKÁ REPUBLIKA;CZ01  / Praha;CZ010  / Hlavní mesto Praha;, 75524 vset, czech republic;49.88233;15.377705
41;2000 - 2006 Czech Republic - Poland (CZ-PL);Tradice a soucasnost v kulture cesko-polského pohranicí;Obec Hat;Yes;;74 716;Hat;Czech Republic;http://www.interreg3a.cz/;NA;NA;CZ Czech Republic / CESKÁ REPUBLIKA;CZ0  / CESKÁ REPUBLIKA;CZ06  / Jihovýchod;CZ064  / Jihomoravský kraj;, 74 716 hat, czech republic;49.945145;18.260679
42;2000 - 2006 Gibraltar - Morocco (UK-MA);GIMACOL;Department of Trade and Industry (DTI);Yes;;NA;Gibraltar;United Kingdom;NA;NA;NA;UK United Kingdom / UNITED KINGDOM;UKF  / EAST MIDLANDS (ENGLAND);UKF3  / Lincolnshire;UKF30  / Lincolnshire;, na gibraltar, united kingdom;52.418788;-1.247349
